,Nombre,Plataforma,Año,Genero,Editorial,Ventas NA,Ventas EU,Ventas JP,Ventas Otros,Ventas Global
2027,Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,0.48,0.44,0.0,0.09,1.01
2028,Sonic Generations,3DS,2011,Platform,Sega,0.44,0.46,0.01,0.09,1.01
2029,Bayonetta 2,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
2030,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01
2031,Rayman Legends,PS4,2014,Platform,Ubisoft,0.21,0.61,0.0,0.18,1.01
2032,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
2033,NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
2034,Road & Track Presents: The Need for Speed,PS,1995,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0
2035,NBA Live 97,PS,1996,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0
2036,Breath of Fire III,PS,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.0
2037,Game & Watch Gallery,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0
2038,Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1.0
2039,Excitebike 64,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0
2040,NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0
2041,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0
2042,Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0
2043,Ford Racing 2,PS2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0
2044,SoulCalibur II,XB,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,1.0
2045,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0
2046,Zoo Tycoon DS,DS,2005,Strategy,THQ,0.86,0.04,0.01,0.08,1.0
2047,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0
2048,PES 2009: Pro Evolution Soccer,X360,2008,Sports,Konami Digital Entertainment,0.13,0.76,0.03,0.09,1.0
2049,Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0
2050,Puzzler Collection,DS,2008,Puzzle,Ubisoft,0.17,0.78,0.0,0.04,1.0
2051,NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0
2052,Wheel of Fortune,Wii,2010,Misc,THQ,0.89,0.04,0.0,0.06,1.0
2053,Dark Souls,X360,2011,Role-Playing,Namco Bandai Games,0.64,0.28,0.0,0.08,1.0
2054,UFC Undisputed 3,X360,2012,Action,THQ,0.72,0.21,0.0,0.07,1.0
2055,Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0
2056,Rocksmith 2014,PS3,2013,Misc,Ubisoft,0.51,0.27,0.05,0.15,1.0
2057,Dead Space 3,PS3,2013,Action,Electronic Arts,0.44,0.38,0.0,0.17,1.0
2058,Disney Infinity,PS3,2013,Action,Disney Interactive Studios,0.48,0.35,0.0,0.16,1.0
2059,Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99
2060,NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99
2061,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
2062,The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99
2063,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.49,0.07,0.39,0.05,0.99
2064,Shadow The Hedgehog,GC,2005,Platform,Sega,0.76,0.2,0.0,0.03,0.99
2065,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99
2066,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0.0,0.11,0.99
2067,Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,0.59,0.31,0.0,0.1,0.99
2068,Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99
2069,Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,0.73,0.15,0.0,0.11,0.99
2070,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99
2071,Band Hero,Wii,2009,Misc,Activision,0.6,0.3,0.0,0.09,0.99
2072,Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.3,0.0,0.09,0.99
2073,EyePet,PS3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.09,0.99
2074,Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0.0,0.07,0.99
2075,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.65,0.0,0.11,0.99
2076,NCAA Football 12,X360,2011,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99
2077,LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,Disney Interactive Studios,0.36,0.46,0.0,0.17,0.99
2078,Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99
2079,Dead Space 3,X360,2013,Action,Electronic Arts,0.64,0.28,0.0,0.08,0.99
2080,Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,0.57,0.34,0.01,0.08,0.99
2081,Tetris 2,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98
2082,NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98
2083,Mario Party Advance,GBA,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98
2084,Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
2085,Cars,DS,2006,Racing,THQ,0.85,0.05,0.0,0.08,0.98
2086,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,0.98
2087,Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98
2088,Madden NFL 10,PS2,2009,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98
2089,Brutal Legend,X360,2009,Action,Electronic Arts,0.62,0.27,0.0,0.09,0.98
2090,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98
2091,Sonic & Sega All-Stars Racing,PS3,2010,Racing,Sega,0.36,0.46,0.0,0.17,0.98
2092,Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,0.56,0.1,0.27,0.05,0.98
2093,Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
2094,Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98
2095,Sniper Elite V2,PS3,2012,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98
2096,Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.19,0.0,0.07,0.98
2097,Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98
2098,Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98
2099,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0.0,0.17,0.98
2100,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98
2101,Madden NFL 16,X360,2015,Sports,Electronic Arts,0.82,0.05,0.0,0.1,0.98
2102,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97
2103,Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97
2104,Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97
2105,Fire Emblem,GBA,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
2106,NHL 2004,PS2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97
2107,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97
2108,NCAA Football 06,XB,2005,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97
2109,LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97
2110,Madden NFL 08,PS3,2007,Sports,Electronic Arts,0.89,0.01,0.0,0.08,0.97
2111,Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97
2112,de Blob,Wii,2008,Platform,THQ,0.5,0.37,0.0,0.1,0.97
2113,NBA 2K10,X360,2009,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97
2114,Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.56,0.33,0.0,0.08,0.97
2115,Skylanders: Spyro's Adventure,X360,2011,Action,Activision,0.53,0.35,0.0,0.1,0.97
2116,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97
2117,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0.0,0.08,0.97
2118,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97
2119,Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97
2120,NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.77,0.1,0.0,0.1,0.97
2121,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
2122,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96
2123,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96
2124,Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96
2125,NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
2126,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
2127,Shinobi,PS2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96
2128,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.96
2129,The Sims 2,DS,2005,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96
2130,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96
2131,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Action,Capcom,0.39,0.0,0.53,0.03,0.96
2132,Sonic Unleashed,X360,2008,Platform,Sega,0.54,0.33,0.0,0.09,0.96
2133,My Weight Loss Coach,DS,2008,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.96
2134,Lost Planet 2,PS3,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96
2135,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.72,0.17,0.0,0.07,0.96
2136,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96
2137,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96
2138,PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
2139,PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96
2140,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2141,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2142,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96
2143,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96
2144,Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
2145,NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
2146,Kessen,PS2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95
2147,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0.19,0.0,0.03,0.95
2148,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95
2149,ESPN NBA 2K5,XB,2004,Sports,Global Star,0.88,0.04,0.0,0.04,0.95
2150,World Championship Poker,PS2,2004,Misc,Play It,0.8,0.03,0.0,0.13,0.95
2151,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95
2152,Ben 10: Alien Force,DS,2008,Action,Koch Media,0.65,0.22,0.0,0.09,0.95
2153,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.51,0.0,0.17,0.95
2154,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,0.51,0.31,0.01,0.13,0.95
2155,Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.28,0.0,0.13,0.95
2156,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0.0,0.1,0.95
2157,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0.0,0.08,0.95
2158,Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.95
2159,Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.46,0.39,0.0,0.1,0.95
2160,Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.4,0.0,0.16,0.95
2161,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95
2162,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.3,0.0,0.08,0.95
2163,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0.0,0.08,0.95
2164,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0.0,0.08,0.95
2165,Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
2166,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94
2167,SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
2168,MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94
2169,Colin McRae Rally 04,PS2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94
2170,Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94
2171,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94
2172,Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94
2173,Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94
2174,The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.73,0.19,0.0,0.03,0.94
2175,Destroy All Humans!,PS2,2005,Shooter,THQ,0.78,0.03,0.0,0.13,0.94
2176,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94
2177,Cars,Wii,2006,Racing,THQ,0.83,0.04,0.0,0.07,0.94
2178,Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94
2179,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94
2180,Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94
2181,Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94
2182,NCAA Football 10,X360,2009,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94
2183,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.5,0.0,0.17,0.94
2184,Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94
2185,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94
2186,Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94
2187,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94
2188,Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.17,0.0,0.08,0.94
2189,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
2190,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93
2191,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
2192,Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93
2193,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0.0,0.01,0.93
2194,SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93
2195,NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93
2196,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0.0,0.04,0.93
2197,Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0.25,0.0,0.02,0.93
2198,Crash City Mayhem,GBA,2004,Racing,THQ,0.67,0.25,0.0,0.02,0.93
2199,Bentley's Hackpack,GBA,2005,Misc,,0.67,0.25,0.0,0.02,0.93
2200,Cars,GC,2006,Racing,THQ,0.72,0.19,0.0,0.03,0.93
2201,Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93
2202,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93
2203,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
2204,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.5,0.32,0.02,0.1,0.93
2205,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93
2206,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93
2207,Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93
2208,EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93
2209,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93
2210,Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93
2211,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
2212,SSX,PS3,2012,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93
2213,Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.31,0.0,0.08,0.93
2214,LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93
2215,Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
2216,Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
2217,Space Jam,PS,1996,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92
2218,Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
2219,NHL 98,PS,1997,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92
2220,Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92
2221,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92
2222,Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0.0,0.12,0.92
2223,Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92
2224,Starsky & Hutch,PS2,2003,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92
2225,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
2226,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0.0,0.16,0.92
2227,Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.92
2228,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92
2229,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0.0,0.08,0.92
2230,Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0.0,0.09,0.92
2231,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92
2232,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92
2233,NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92
2234,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92
2235,Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92
2236,Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0.0,0.0,0.05,0.92
2237,Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92
2238,FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92
2239,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92
2240,Disney Magical World,3DS,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
2241,Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92
2242,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0.0,0.15,0.92
2243,The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
2244,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92
2245,Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91
2246,Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91
2247,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91
2248,Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0.0,0.12,0.91
2249,Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91
2250,Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91
2251,Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0.0,0.04,0.91
2252,AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91
2253,The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.91
2254,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91
2255,Call of Duty: World at War,DS,2008,Shooter,Activision,0.57,0.26,0.0,0.08,0.91
2256,Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91
2257,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.3,0.0,0.13,0.91
2258,MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.26,0.0,0.12,0.91
2259,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91
2260,DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.91
2261,Homefront,PS3,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
2262,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91
2263,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.91
2264,Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.46,0.38,0.0,0.08,0.91
2265,Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
2266,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9
2267,Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9
2268,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0.0,0.06,0.9
2269,Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9
2270,James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9
2271,Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9
2272,Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9
2273,MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9
2274,X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9
2275,NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9
2276,Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
2277,Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
2278,Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9
2279,Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9
2280,We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.9
2281,TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9
2282,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.51,0.29,0.0,0.09,0.9
2283,Samba De Amigo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9
2284,Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.9
2285,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9
