offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
Yes,Air Miles,Postcard,Low,1,No,Low,more than 2,1,3,Yes,7.129297548929373
No,Points,Postcard,Medium,1,Yes,High,1,1,2,No,7.045123053274943
No,Cash Back,Postcard,Low,1,No,High,more than 2,more than 1,3,Yes,7.057682767965088
No,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,6.9219047020865565
No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,7.135687347028144
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,3,No,6.507277712385012
No,Cash Back,Letter,Low,1,No,Low,more than 2,1,2,No,6.627710633659567
No,Points,Postcard,Medium,1,No,High,1,1,4,No,7.177400663947767
No,Points,Postcard,Low,more than 1,Yes,Medium,2,1,4,Yes,7.245833368388446
No,Points,Postcard,Low,1,No,High,1,1,5,Yes,7.180831199044556
No,Points,Postcard,Medium,1,No,Medium,1,1,3,No,6.8829501600631655
Yes,Air Miles,Letter,High,1,No,Low,2,1,4,Yes,7.167423604978719
No,Cash Back,Postcard,Low,1,No,High,1,1,1,No,7.029308974534714
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,6,Yes,7.094027355520442
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,more than 1,4,Yes,6.831414045725414
No,Air Miles,Letter,Medium,1,No,Low,2,1,3,No,6.997367437671824
No,Cash Back,Letter,High,1,No,Medium,2,more than 1,5,Yes,6.922151159265869
No,Points,Postcard,High,1,No,High,1,more than 1,3,No,7.039222041724443
No,Cash Back,Postcard,Medium,1,No,Low,2,more than 1,2,Yes,6.693013830932071
No,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,6.5998704992128365
No,Air Miles,Postcard,Medium,1,No,Low,2,1,3,Yes,6.784457062637643
No,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,6.679285066162202
No,Points,Postcard,High,more than 1,No,Low,2,1,3,Yes,6.8684945650288345
Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,7.220373836723949
No,Cash Back,Postcard,Medium,more than 1,No,Medium,2,1,6,Yes,6.803505257608338
No,Air Miles,Letter,Low,1,No,High,2,more than 1,3,Yes,6.871091294610546
No,Cash Back,Letter,Medium,more than 1,No,High,1,1,4,Yes,6.97143405564532
No,Air Miles,Letter,High,1,No,Low,1,1,4,No,7.21247881728877
No,Points,Postcard,High,1,No,Medium,2,more than 1,5,No,6.848801136138467
No,Air Miles,Letter,Low,1,No,Medium,2,more than 1,4,No,6.823830044044376
No,Air Miles,Postcard,Low,more than 1,No,High,2,1,3,No,6.864325721054801
No,Air Miles,Letter,High,more than 1,No,High,1,1,5,No,7.076442644500288
No,Cash Back,Postcard,Medium,1,No,Low,more than 2,1,5,Yes,7.066253636802816
No,Cash Back,Letter,High,1,No,High,1,more than 1,3,Yes,6.78981598111745
No,Cash Back,Letter,Medium,more than 1,No,Medium,2,1,3,No,6.848801136138467
No,Points,Letter,Low,more than 1,Yes,High,1,1,3,Yes,6.950575276165066
No,Points,Postcard,Medium,1,No,Medium,1,more than 1,4,Yes,6.946495107298068
No,Cash Back,Letter,High,1,No,Low,more than 2,1,4,No,7.046212022129153
Yes,Air Miles,Postcard,High,1,No,Medium,2,1,5,Yes,7.030636408357952
No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,6.564560496600097
No,Points,Letter,Medium,1,No,Medium,2,1,5,Yes,6.771649145985146
Yes,Points,Postcard,Medium,1,No,High,more than 2,1,3,No,6.85356304989871
No,Air Miles,Letter,Medium,more than 1,No,Medium,2,1,1,Yes,6.786152457222888
No,Air Miles,Letter,High,more than 1,No,High,2,more than 1,4,No,7.0118900437141445
Yes,Points,Postcard,Medium,more than 1,No,Medium,1,1,3,Yes,6.909254155105873
No,Points,Letter,Low,1,No,Medium,1,1,3,Yes,6.861973086327009
No,Points,Letter,High,more than 1,No,High,1,1,4,No,7.149131598557407
No,Air Miles,Postcard,Low,1,No,High,2,1,3,No,6.804891643522898
No,Air Miles,Postcard,High,1,No,Low,more than 2,1,1,No,7.05444965813294
No,Points,Letter,Medium,1,No,High,more than 2,1,4,No,6.965788310232747
No,Cash Back,Postcard,Medium,1,No,Medium,1,1,2,Yes,7.086737934510577
No,Cash Back,Letter,Medium,1,No,Low,1,1,4,Yes,7.105991194590162
No,Air Miles,Postcard,Medium,1,No,Low,more than 2,more than 1,4,Yes,6.811519671101311
No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,6,No,6.548577204825286
No,Points,Postcard,High,1,No,High,2,1,3,No,7.132697212237726
No,Cash Back,Postcard,Medium,more than 1,No,Low,2,1,4,No,6.565264970035361
No,Cash Back,Letter,Medium,1,No,Medium,2,more than 1,4,Yes,6.789534647594706
No,Air Miles,Letter,Low,1,Yes,Medium,1,1,5,Yes,6.878583901681857
No,Points,Postcard,Medium,1,No,Medium,1,1,3,Yes,6.9172104377528925
No,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,4,No,6.537415972849347
No,Air Miles,Letter,Low,1,Yes,Medium,2,1,5,Yes,7.002155954403621
No,Points,Postcard,Medium,1,No,Low,more than 2,1,4,Yes,7.185008155943379
No,Air Miles,Postcard,Medium,more than 1,No,Medium,1,1,3,Yes,6.652217659856923
No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,6.993703591118502
No,Points,Letter,Medium,1,No,Medium,more than 2,1,3,No,6.416732282512326
No,Cash Back,Postcard,Low,more than 1,No,Low,1,1,3,Yes,7.186144304522325
No,Points,Letter,High,more than 1,No,Medium,more than 2,more than 1,5,Yes,7.184818672285777
No,Points,Letter,High,1,No,High,2,1,3,Yes,6.972137537911405
No,Points,Letter,Medium,1,No,Low,more than 2,1,2,Yes,6.730421263699221
No,Air Miles,Letter,Low,1,No,Medium,2,1,4,Yes,7.012565643334482
No,Cash Back,Letter,Medium,more than 1,No,Low,more than 2,1,4,Yes,6.9204246820828
No,Air Miles,Letter,Medium,1,No,Low,more than 2,1,5,Yes,6.799891633106192
No,Air Miles,Letter,Low,1,No,Low,1,1,4,Yes,6.874198495453294
No,Points,Postcard,Medium,1,No,Medium,2,1,6,Yes,6.637258031284457
No,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,2,No,7.00737434401085
No,Air Miles,Letter,Medium,more than 1,No,Low,1,more than 1,3,No,6.742585781005748
No,Cash Back,Postcard,Medium,1,No,High,2,1,4,Yes,6.8992189479598505
No,Air Miles,Postcard,Medium,1,Yes,Medium,more than 2,1,6,Yes,7.092365880579563
No,Cash Back,Letter,Medium,1,No,Medium,more than 2,1,4,No,6.638240510485805
No,Cash Back,Postcard,Medium,more than 1,No,High,1,1,3,Yes,6.672032945461067
No,Air Miles,Postcard,Low,1,No,Low,2,1,5,Yes,7.0936122455103305
No,Points,Postcard,Medium,1,No,Medium,1,1,5,No,7.119837882936922
No,Points,Letter,High,1,No,High,2,1,4,No,6.966495774004737
No,Points,Postcard,Medium,1,No,Low,1,more than 1,4,Yes,6.574378247268227
No,Air Miles,Letter,Medium,1,No,Medium,2,1,1,No,7.116191201424073
No,Points,Letter,Medium,more than 1,No,Medium,1,1,4,No,6.746999500102743
No,Points,Letter,Medium,1,No,Medium,more than 2,1,2,No,7.062191632286556
No,Cash Back,Postcard,Medium,1,No,High,2,1,4,No,6.910252159180724
No,Air Miles,Letter,High,1,No,Low,more than 2,1,4,Yes,7.131098810299013
No,Points,Letter,Medium,1,No,Low,2,1,5,No,6.723531914898586
No,Points,Letter,Medium,1,Yes,Low,1,1,2,Yes,6.90975328164481
No,Points,Letter,Medium,more than 1,No,Low,1,1,4,No,6.92706759001451
No,Points,Letter,Medium,1,No,Low,2,1,3,Yes,6.781341354126479
No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,7.1449989546751285
No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,6.920918265508418
No,Points,Postcard,Low,1,No,Low,1,1,5,No,6.927312778197668
No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,No,6.728927611442439
No,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,6.801004909035257
No,Points,Letter,Medium,1,Yes,Low,more than 2,1,5,Yes,7.023536311967847
No,Points,Letter,Low,more than 1,Yes,Medium,1,1,5,Yes,7.094857058949081
No,Cash Back,Letter,Medium,1,Yes,Low,1,1,4,Yes,6.8679744089702925
No,Air Miles,Postcard,Medium,1,No,High,2,1,5,No,6.865369562485699
No,Cash Back,Letter,High,1,No,High,2,1,3,No,6.735483058041184
No,Cash Back,Postcard,High,more than 1,No,Medium,2,1,2,Yes,7.0357086432925975
No,Points,Letter,Low,1,No,High,2,1,3,Yes,6.846677429473547
No,Points,Postcard,Medium,more than 1,No,Low,2,1,3,No,7.107834890697795
No,Points,Postcard,Medium,1,No,High,1,1,4,No,6.922643891475888
No,Points,Postcard,Medium,1,No,Low,2,more than 1,2,No,7.095893221097532
No,Cash Back,Letter,Medium,1,No,Medium,2,1,6,Yes,6.759255270663693
No,Air Miles,Letter,High,1,No,Medium,2,more than 1,4,Yes,6.984253249954862
No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,Yes,6.816462020535746
No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,6.853826936956581
No,Points,Postcard,Low,1,No,Medium,2,1,2,Yes,6.93707133331619
No,Points,Letter,Medium,1,Yes,High,2,1,3,Yes,6.635290172335217
No,Cash Back,Letter,Medium,more than 1,No,Low,1,1,5,Yes,7.318705317320871
No,Air Miles,Letter,High,1,Yes,Medium,1,1,3,Yes,7.333839674293037
No,Points,Postcard,High,1,No,Medium,more than 2,1,2,Yes,6.740223807660818
No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,6.775366090936392
No,Points,Postcard,Medium,more than 1,No,High,2,1,4,Yes,7.047951909475421
No,Cash Back,Postcard,High,1,No,High,2,1,2,Yes,6.802950164616011
Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,7.054665524296758
No,Air Miles,Postcard,Low,more than 1,No,High,2,1,4,No,6.746705857463722
No,Cash Back,Letter,High,1,No,High,more than 2,1,3,Yes,7.454575262971503
No,Air Miles,Postcard,High,1,Yes,Low,1,more than 1,2,No,7.336774140044037
No,Cash Back,Postcard,High,1,No,Medium,more than 2,1,3,No,6.887807641172441
No,Points,Postcard,High,1,No,Low,2,1,4,Yes,6.557133406756482
Yes,Air Miles,Postcard,Low,more than 1,No,Low,1,more than 1,2,No,6.889336693458119
No,Points,Postcard,Medium,1,No,Low,1,1,4,Yes,6.896947080265534
No,Points,Postcard,Medium,more than 1,Yes,High,2,1,3,Yes,7.0967213784947605
Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,6.836259277277067
No,Points,Postcard,Medium,1,No,High,more than 2,1,3,No,6.933179331322296
No,Cash Back,Letter,Low,1,Yes,Medium,2,1,3,No,7.02442658578583
No,Cash Back,Postcard,Low,1,No,Medium,1,more than 1,6,Yes,7.119635638017636
No,Cash Back,Postcard,High,1,No,Low,2,1,4,No,6.9541616517962925
No,Cash Back,Postcard,High,1,Yes,High,2,more than 1,6,No,6.81536582968879
No,Cash Back,Postcard,Medium,1,Yes,Medium,1,1,3,No,6.616734305264841
No,Air Miles,Letter,Low,1,No,High,2,more than 1,6,No,6.776506992372183
No,Air Miles,Letter,High,1,No,Low,2,1,3,Yes,7.05444965813294
No,Points,Postcard,Medium,1,No,Medium,2,1,3,No,6.797661356185063
No,Cash Back,Letter,Medium,more than 1,No,Low,more than 2,more than 1,3,Yes,7.142827401161621
No,Cash Back,Letter,Low,1,No,Low,1,1,2,Yes,7.078763075875818
No,Air Miles,Postcard,Low,1,No,Medium,more than 2,1,1,No,7.132497551660044
No,Cash Back,Postcard,Low,1,No,Low,1,1,5,Yes,6.824373670043086
No,Points,Letter,Low,1,No,High,2,1,2,No,6.968144578994921
No,Air Miles,Letter,High,1,No,Medium,1,1,4,No,6.957735211287158
No,Cash Back,Postcard,High,1,No,High,2,more than 1,4,No,6.974478911025045
No,Cash Back,Postcard,Medium,1,No,High,2,1,3,No,6.843216757844566
No,Air Miles,Postcard,Medium,more than 1,No,Low,1,1,5,Yes,7.093404625868766
No,Cash Back,Postcard,Medium,more than 1,No,Low,1,more than 1,5,Yes,6.576469569048224
No,Air Miles,Postcard,Medium,1,Yes,High,2,more than 1,4,Yes,7.080026499922591
No,Air Miles,Postcard,Low,1,Yes,Low,2,1,2,Yes,6.622403821868638
No,Cash Back,Postcard,Medium,more than 1,No,High,1,1,2,No,6.89745238598624
Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,7.095271652653196
No,Points,Postcard,Medium,1,No,Low,2,1,4,No,6.960584892626669
No,Air Miles,Letter,Medium,more than 1,No,Low,1,1,4,Yes,7.056821626900031
No,Air Miles,Letter,Medium,more than 1,No,High,1,more than 1,3,Yes,6.867714229444953
No,Points,Postcard,High,1,No,Low,2,1,3,Yes,6.7601249619781125
No,Air Miles,Letter,High,more than 1,No,High,1,more than 1,3,Yes,7.14243206611002
No,Air Miles,Letter,Medium,more than 1,No,High,2,1,4,Yes,7.003519900966516
No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,7.1449989546751285
No,Cash Back,Letter,Medium,more than 1,Yes,Low,2,1,5,Yes,6.897957436502026
No,Points,Postcard,Medium,1,No,High,more than 2,1,6,Yes,7.2875606403097235
No,Cash Back,Letter,High,1,No,High,2,1,3,No,7.096100324753651
No,Points,Postcard,Medium,1,No,Medium,1,1,6,No,7.159874938532864
No,Cash Back,Letter,Medium,1,Yes,Low,2,1,2,No,6.998966159035521
No,Cash Back,Letter,High,more than 1,No,High,more than 2,1,2,Yes,6.831144176610296
No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,6.992785528166713
No,Points,Postcard,Low,1,No,Medium,more than 2,1,5,Yes,7.047951909475421
No,Air Miles,Postcard,High,more than 1,Yes,Medium,1,more than 1,5,No,7.008279116748436
No,Points,Postcard,High,1,No,Medium,2,1,5,Yes,7.017954071280212
No,Points,Postcard,Low,more than 1,No,High,2,1,4,Yes,7.143617602704121
No,Cash Back,Letter,High,1,No,Medium,2,1,3,No,7.166072905304
No,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,7.079816040067031
No,Points,Postcard,Medium,1,No,Low,1,1,4,No,7.458618589779658
No,Air Miles,Postcard,Medium,1,Yes,Low,2,1,3,Yes,7.23615934095384
No,Air Miles,Letter,Medium,1,No,High,1,1,3,Yes,7.160845906664299
No,Cash Back,Postcard,Medium,1,No,Medium,more than 2,more than 1,3,Yes,6.9474566458336895
No,Cash Back,Letter,Medium,1,No,Medium,more than 2,more than 1,4,Yes,6.779353564177613
No,Air Miles,Postcard,Low,1,No,High,2,1,4,Yes,6.776221889020287
No,Cash Back,Postcard,Medium,1,No,Low,more than 2,1,4,Yes,7.224753405767971
No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,6.995537192365671
No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,6.861449526105625
No,Points,Postcard,High,1,No,Low,2,1,2,No,7.050556077613808
No,Air Miles,Letter,Medium,1,No,High,2,more than 1,2,Yes,6.939980426276874
No,Cash Back,Postcard,Low,1,No,Medium,2,1,6,Yes,7.197996573828841
No,Air Miles,Letter,Medium,more than 1,No,Low,2,1,3,No,6.591673732008658
No,Cash Back,Letter,Low,1,No,High,2,1,4,Yes,7.071573364211532
No,Air Miles,Postcard,High,1,No,High,more than 2,1,2,Yes,6.63200177739563
No,Points,Letter,Medium,1,No,Low,more than 2,1,5,No,7.081918648074629
No,Points,Postcard,Low,1,No,Medium,more than 2,1,4,Yes,7.149327965764714
No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,No,6.967202737625557
No,Air Miles,Postcard,High,more than 1,No,Low,1,1,4,No,6.89947105939444
No,Points,Postcard,High,1,No,High,2,1,2,No,6.62472901806655
No,Points,Postcard,Medium,1,No,High,more than 2,1,4,Yes,6.977747650802172
No,Points,Postcard,High,more than 1,No,Low,more than 2,1,6,No,6.874715424903937
No,Cash Back,Letter,Medium,more than 1,No,High,more than 2,1,2,Yes,6.874198495453294
No,Points,Letter,Medium,1,Yes,Medium,more than 2,1,4,Yes,6.950335726517255
No,Cash Back,Letter,Medium,more than 1,No,Low,2,1,4,Yes,6.7601249619781125
No,Air Miles,Letter,High,1,No,Medium,more than 2,more than 1,4,Yes,7.0431599159883405
No,Cash Back,Letter,High,1,No,High,2,more than 1,4,Yes,6.97844670710467
No,Points,Letter,Low,1,Yes,Low,2,1,4,No,6.565617020734297
No,Points,Postcard,Medium,1,No,Medium,1,1,5,Yes,7.098169005673428
Yes,Points,Letter,Medium,1,Yes,Medium,1,1,4,No,7.062191632286556
No,Air Miles,Letter,High,1,No,Medium,2,1,3,Yes,7.126288217738663
No,Points,Letter,Medium,1,No,Medium,1,more than 1,4,Yes,6.838405200847344
No,Air Miles,Postcard,Medium,1,No,Low,1,more than 1,4,Yes,6.891371799731613
No,Cash Back,Letter,Low,1,No,Medium,more than 2,1,4,Yes,6.622071209193029
No,Air Miles,Postcard,High,1,No,Low,1,1,2,No,7.149720584536935
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,No,6.963426476352598
No,Cash Back,Postcard,Low,1,No,High,2,more than 1,5,Yes,7.034387929915503
No,Air Miles,Letter,High,1,No,Medium,2,1,3,No,7.063690080602897
No,Air Miles,Letter,High,1,No,Medium,2,more than 1,4,Yes,7.013465733404251
No,Points,Letter,Medium,1,No,Medium,2,1,1,No,7.365338341352408
No,Points,Letter,Medium,1,No,High,2,1,4,Yes,7.118218777138972
No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,7.375099124136167
No,Cash Back,Letter,Medium,more than 1,Yes,Medium,2,1,3,Yes,6.8501261661455
No,Points,Postcard,Medium,1,No,Low,1,1,5,Yes,7.1817820406109165
No,Cash Back,Postcard,High,1,No,Medium,1,1,5,Yes,7.046647277848756
No,Cash Back,Letter,Medium,1,No,Medium,more than 2,1,2,Yes,7.144801735465339
No,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,6.492618551177242
No,Cash Back,Postcard,Medium,1,No,High,1,1,4,No,6.954877386050872
No,Cash Back,Postcard,Medium,1,No,High,1,1,1,Yes,6.66153499633795
No,Air Miles,Postcard,High,1,No,Low,2,more than 1,5,No,6.950814768442584
No,Cash Back,Postcard,Medium,1,No,High,2,1,1,No,6.651248823998806
No,Points,Postcard,Medium,1,Yes,High,1,1,6,Yes,7.102087748442227
No,Air Miles,Postcard,Low,1,No,Low,2,1,2,No,6.559261067133599
No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,6.9789124732984655
No,Points,Letter,Low,1,No,Low,1,more than 1,3,Yes,7.008053000297501
No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,6.952489610322308
No,Points,Postcard,Medium,more than 1,No,Low,2,1,2,No,6.838673117794693
No,Cash Back,Letter,Medium,1,No,Medium,2,1,5,No,7.133495456143613
No,Cash Back,Letter,Medium,more than 1,No,Medium,1,1,4,Yes,6.6005505400414926
No,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,7.169157542413437
No,Points,Postcard,High,1,No,High,2,more than 1,4,Yes,7.12347131446755
No,Cash Back,Postcard,Low,1,No,Low,more than 2,more than 1,4,Yes,6.743470084674281
No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.565968947537155
No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,No,6.77050268555576
No,Cash Back,Letter,Medium,more than 1,No,Low,1,1,3,No,6.9122451842549895
No,Cash Back,Letter,Low,more than 1,No,High,1,1,5,Yes,7.00737434401085
No,Air Miles,Letter,Medium,more than 1,No,Low,2,1,4,Yes,6.881154597184958
No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,6.85356304989871
No,Air Miles,Letter,Medium,more than 1,No,Medium,1,more than 1,5,Yes,7.000106540046323
No,Cash Back,Letter,Medium,1,No,High,1,1,2,No,6.655440350367647
No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,7.149524294419511
No,Air Miles,Letter,Low,1,No,Low,2,1,4,Yes,6.828170799639294
No,Points,Postcard,High,1,Yes,Medium,1,more than 1,2,Yes,6.987951820976414
No,Air Miles,Postcard,Low,1,No,Low,more than 2,1,2,No,7.255238104551954
No,Air Miles,Postcard,Low,more than 1,No,High,2,1,4,No,6.689288275551829
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,more than 1,5,No,6.948657270302562
No,Air Miles,Postcard,Medium,1,No,Low,2,1,3,Yes,7.075386120366088
No,Cash Back,Postcard,High,1,No,Low,more than 2,1,5,No,6.934153752836668
No,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,6.473890696352274
No,Air Miles,Letter,Medium,1,Yes,Low,2,1,3,Yes,6.853035066781904
No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,1,1,Yes,7.099201743553092
No,Air Miles,Letter,High,1,No,Low,more than 2,1,2,Yes,6.78981598111745
No,Air Miles,Letter,High,1,No,High,1,1,3,Yes,6.668545859981134
No,Points,Postcard,Medium,more than 1,Yes,Low,1,1,3,No,6.791502322157887
No,Air Miles,Letter,Low,more than 1,Yes,High,1,1,4,Yes,6.765903654741896
No,Cash Back,Letter,Low,1,Yes,High,2,1,4,Yes,7.317046391923831
Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,4,Yes,7.036588150825105
No,Points,Postcard,Low,1,No,Low,more than 2,1,6,Yes,6.935613607110533
No,Points,Postcard,Low,more than 1,No,Low,2,more than 1,4,Yes,7.173191742486599
No,Air Miles,Letter,Medium,1,No,Low,2,1,3,No,6.999422467507961
No,Points,Letter,Low,more than 1,No,High,2,more than 1,3,Yes,6.865891074883439
No,Points,Postcard,Medium,1,No,Low,2,1,4,No,6.4023317045051416
No,Air Miles,Letter,High,1,No,Medium,1,more than 1,3,Yes,6.482342533064276
No,Cash Back,Letter,High,more than 1,No,High,1,1,3,Yes,6.9782137426306985
No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,7.046212022129153
No,Air Miles,Letter,Medium,1,Yes,High,more than 2,1,4,Yes,6.593044534142437
No,Points,Postcard,Medium,more than 1,No,High,2,1,3,Yes,6.902742737158593
No,Air Miles,Letter,High,1,Yes,Medium,more than 2,more than 1,2,No,7.039441219807512
No,Cash Back,Postcard,High,more than 1,Yes,High,2,1,4,Yes,6.576121319001174
No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,6.875748482847051
Yes,Air Miles,Postcard,Medium,more than 1,No,Low,2,1,4,Yes,7.143222579985179
No,Points,Letter,Medium,more than 1,No,Low,1,1,3,No,6.895176496775277
No,Points,Postcard,High,1,No,Medium,2,1,5,No,6.860925691625339
No,Air Miles,Postcard,High,more than 1,No,High,1,1,5,No,7.145393276446799
No,Points,Letter,Low,more than 1,Yes,Low,1,1,2,Yes,6.587894308166121
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,No,7.193122173476478
No,Cash Back,Letter,Medium,more than 1,No,Medium,more than 2,1,5,No,7.116799905916845
No,Cash Back,Letter,High,1,No,High,more than 2,1,4,Yes,6.988413181999592
No,Cash Back,Postcard,High,1,No,High,1,1,4,No,7.064331586024234
No,Air Miles,Postcard,Medium,more than 1,No,High,1,1,3,Yes,7.123269803131856
No,Air Miles,Postcard,High,more than 1,Yes,High,more than 2,1,4,Yes,6.786716950605081
No,Points,Letter,Low,1,No,Medium,more than 2,1,3,Yes,6.9122451842549895
No,Air Miles,Postcard,High,more than 1,No,High,more than 2,1,5,Yes,6.431331081933479
Yes,Cash Back,Postcard,Medium,1,No,Low,2,more than 1,6,Yes,7.1258862884728025
No,Air Miles,Postcard,High,1,No,Low,2,1,2,Yes,7.251699530442051
No,Air Miles,Postcard,Medium,1,No,Low,more than 2,more than 1,6,Yes,7.043814723389233
No,Air Miles,Postcard,Medium,1,No,Low,2,1,3,No,6.668545859981134
No,Air Miles,Postcard,Medium,more than 1,No,Low,2,1,5,No,7.099201743553092
No,Air Miles,Postcard,Medium,1,Yes,High,2,1,3,Yes,6.8343778091773615
No,Points,Postcard,Medium,1,No,Medium,2,more than 1,3,Yes,6.616065185132817
No,Air Miles,Letter,Medium,more than 1,No,Low,2,1,6,Yes,6.968144578994921
No,Points,Postcard,High,1,No,Low,2,1,5,Yes,6.633318433280377
No,Points,Postcard,Medium,more than 1,No,High,2,more than 1,4,No,7.155786545804125
No,Air Miles,Letter,Low,1,Yes,Medium,2,more than 1,1,Yes,7.060261750696906
No,Air Miles,Letter,High,more than 1,No,Medium,2,1,4,Yes,6.658011045870748
No,Points,Letter,Low,1,No,Low,2,1,2,Yes,6.9686151672389
No,Points,Letter,Medium,more than 1,Yes,Medium,1,1,3,No,7.010763029056366
No,Air Miles,Letter,Medium,1,No,Low,2,1,4,No,6.509141645823075
No,Points,Letter,Medium,1,No,Medium,2,more than 1,2,Yes,6.630683385642372
No,Cash Back,Postcard,Low,1,No,High,2,1,4,Yes,6.940222469119639
No,Points,Letter,Medium,1,No,Low,2,1,4,No,6.984253249954862
No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,7.232733136177615
No,Points,Postcard,Medium,more than 1,No,Low,1,more than 1,3,Yes,7.037027614686276
No,Air Miles,Postcard,Medium,more than 1,No,High,2,1,5,Yes,6.882181027862707
No,Points,Letter,Medium,1,No,Medium,1,1,2,Yes,7.465225910571172
No,Air Miles,Postcard,Medium,more than 1,No,High,2,1,6,No,7.147559271189454
No,Points,Letter,Low,more than 1,No,High,1,1,3,Yes,6.921658184151129
No,Cash Back,Letter,Medium,more than 1,No,High,2,1,5,No,7.020190708311925
No,Air Miles,Letter,High,1,No,Low,2,1,3,Yes,7.21211008572117
No,Cash Back,Letter,Medium,1,No,Low,1,more than 1,3,Yes,6.908504997872683
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,3,No,7.1053758730652605
No,Cash Back,Postcard,High,1,No,Medium,2,1,3,Yes,6.89745238598624
No,Points,Letter,Low,1,No,Low,2,1,4,Yes,6.662493922414308
No,Points,Letter,Medium,1,No,Medium,2,1,2,Yes,7.102499355774649
No,Cash Back,Postcard,Medium,1,Yes,Low,2,more than 1,5,Yes,7.258412150595307
No,Points,Letter,Medium,1,No,Medium,2,1,5,Yes,6.9167150203536085
Yes,Air Miles,Postcard,Medium,1,No,High,2,more than 1,3,No,6.837869151517971
No,Cash Back,Letter,Low,1,No,Medium,1,1,3,Yes,6.508769136971682
No,Points,Postcard,High,1,No,Medium,2,1,3,No,7.219459007275827
No,Cash Back,Letter,Medium,more than 1,No,Medium,2,1,2,Yes,6.811519671101311
No,Air Miles,Postcard,Low,more than 1,No,High,1,1,3,Yes,7.165107001626084
No,Cash Back,Postcard,Medium,1,No,High,2,1,3,Yes,6.808763329775187
Yes,Points,Postcard,High,1,No,Low,1,1,4,Yes,6.728030348035448
No,Cash Back,Letter,Medium,1,Yes,Low,2,1,4,Yes,7.061763091461485
No,Air Miles,Letter,Medium,1,No,Low,1,1,3,Yes,6.92706759001451
No,Cash Back,Letter,High,1,No,High,more than 2,1,2,No,7.004881989712859
No,Cash Back,Postcard,High,1,No,Low,2,1,2,Yes,7.106811034767257
No,Air Miles,Postcard,Medium,more than 1,No,High,1,1,4,No,6.822469684699777
No,Air Miles,Postcard,Medium,more than 1,No,Medium,2,1,3,Yes,6.41468771013785
No,Air Miles,Letter,High,1,No,Medium,2,1,4,No,6.703188113240863
No,Cash Back,Postcard,Low,1,No,High,2,1,4,Yes,6.590301048196686
No,Air Miles,Letter,Low,1,No,Low,2,1,3,No,6.9169627597330505
No,Cash Back,Letter,Medium,1,No,Medium,1,1,2,Yes,6.960110509316065
